INST CODE,INSTITUTE NAME,PLACE,DIST,COED,TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,TUITION FEE,AFFILIATED
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,CSE,COMPUTER SCIENCE  AND  ENGINEERING,26893,27603,48759,69830,49578,49578,26893,27603,37971,49811,39785,48015,74334,80625,50421,50421,48000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,CSM,COMPUTER SCIENCE AND ENGINEERING ,36022,51625,73290,73290,85461,85461,52288,52288,64816,69667,82557,82557,86118,86118,50045,51625,48000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,33549,51948,82829,82829,73571,73571,33549,51948,80170,80170,74287,74287,77367,80401,74140,74140,48000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,37572,37572,37572,62394,37572,37572,37572,37572,37572,37572,84537,84537,37572,37572,55373,55373,48000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,MEC,MECHANICAL ENGINEERING,35141,35141,35141,35141,35141,35141,35141,35141,35141,42798,35141,35141,82572,82572,35141,60187,48000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CIV,CIVIL ENGINEERING,35142,71162,55232,80089,70033,85111,35142,71162,85812,86108,72064,72064,75480,80677,65282,71162,82000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),36798,45235,73087,74193,54920,54920,36798,45235,48665,51309,36798,61336,70912,76665,74954,74954,82000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSE,COMPUTER SCIENCE  AND  ENGINEERING,23686,23767,48699,70497,31819,31819,70691,85034,34184,38155,62306,72732,72721,80166,53175,72054,82000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSM,COMPUTER SCIENCE AND ENGINEERING ,32346,33483,63086,81925,47706,56872,44672,44672,49846,59434,59259,59259,74122,74122,64668,66399,82000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),41131,55358,84016,84016,75766,75766,56185,56185,65361,65361,51279,55358,68027,75011,41131,55358,82000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,33354,37139,69615,75654,49640,51406,49345,49345,50410,59205,53785,53785,82757,85597,76919,76919,82000,JNTUH
