Branch,OC_First,OC_Last,EWS_First,EWS_Last,BCA_First,BCA_Last,BCB_First,BCB_Last,BCC_First,BCC_Last,BCD_First,BCD_Last,BCE_First,BCE_Last,SC_First,SC_Last,ST_First,ST_Last
CIVIL_Boys,3754,12117,27112,59203,2407,67169,6778,85707,42038,42038,17343,32525,8459,25881,15192,73580,17671,43700
CIVIL_Girls,8643,14583,20856,68000,34899,56332,25870,100037,--,--,22547,81637,60239,60239,18329,88298,22913,72608
CSECSBS_Boys,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CSECSBS_Girls,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CSEDS_Boys,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CSEDS_Girls,--,--,--,--,A,,B,,C,,D,,E,,--,--,--,--
CSE_Boys,554,1630,744,2331,1157,2726,854,2899,3530,3530,1072,2533,2028,2460,3372,9966,6776,8641
CSE_Girls,701,1811,1259,2375,1715,3301,931,2945,7751,7751,1771,2768,2655,2655,7695,12650,9684,12857
CSEAIML_Boys,598,1818,1608,2450,2830,2830,927,3044,--,--,1934,2801,1957,1957,4934,9958,8896,9869
CSEAIML_Girls,1490,1911,1677,2563,2485,5271,1192,3352,--,--,988,2848,1961,1961,6696,11681,19224,26267
ECE_Boys,1761,7369,3602,7376,6103,8614,2714,11032,9438,9438,2854,14141,8545,17396,8200,25494,11952,14496
ECE_Girls,1814,8400,5936,9144,7144,15121,1971,18260,--,--,4262,13906,7915,13322,11904,30406,15550,16516
EEE_Boys,6954,14619,11453,19768,14242,26777,15206,59370,10369,10369,9273,33279,18752,37241,12259,36491,15270,34056
EEE_Girls,9630,13003,15220,23976,22063,32363,23721,98456,12730,12730,5072,41205,17937,17937,9420,77105,39177,117848
MEC_Boys,5540,23416,5540,32069,16004,94638,16055,105774,--,--,17914,67659,43564,57736,20588,53222,32201,54521
MEC_Girls,8538,35434,38741,100218,--,--,16578,86503,85317,85317,21996,79845,22388,22388,43535,102701,76841,99323
IT_Boys,1467,3686,1659,5859,3410,8886,1361,6691,13170,13170,2816,7517,2410,5641,5350,21140,13399,16279
IT_Girls,2206,4175,3469,5859,5933,10710,2778,8059,15910,15910,2911,10103,12709,12927,12907,35144,12229,34620
