Branch,OC_First,OC_Last,EWS_First,EWS_Last,BCA_First,BCA_Last,BCB_First,BCB_Last,BCC_First,BCC_Last,BCD_First,BCD_Last,BCE_First,BCE_Last,SC_First,SC_Last,ST_First,ST_Last
CIVIL_Boys,6777,13932,35820,61332,--,--,36039,101109,--,--,21500,107380,12974,12974,27950,112050,20959,28904
CIVIL_Girls,--,--,111720,111720,--,--,24657,40624,95062,95062,36125,68145,39107,39107,31277,96371,28941,64343
CSECSBS_Boys,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CSECSBS_Girls,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CSEDS_Boys,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CSEDS_Girls,--,--,--,--,A,,B,,C,,D,,E,,--,--,--,--
CSE_Boys,544,2098,1102,3014,2487,4165,1769,4166,5455,5455,1644,3226,1617,9846,3749,16484,10136,13436
CSE_Girls,1246,2704,1970,3127,3354,7035,3132,4797,--,--,3041,4854,4996,4996,12158,24751,11190,12032
CSEAIML_Boys,1809,3776,2707,4035,4921,5025,3546,5053,--,--,2677,4339,5214,7323,9024,15157,9938,9938
CSEAIML_Girls,2163,3738,2163,2163,8064,8064,801,6516,--,--,5043,5043,--,--,10329,13634,16326,28192
ECE_Boys,2344,7963,6823,10258,8276,25943,3705,16266,--,--,2724,20164,5009,19231,14109,37596,20553,28091
ECE_Girls,3757,9552,3757,12226,11688,25932,6560,22452,27892,27892,8090,20889,33597,43414,14149,37223,17454,21612
EEE_Boys,6130,13569,10029,17360,32090,92703,27930,92852,--,--,14017,77083,--,--,16980,48254,18578,24909
EEE_Girls,--,--,12586,27910,113938,113938,23253,61382,--,--,23523,26642,20045,20045,66445,116317,116895,116895
MEC_Boys,9982,44349,21328,93175,53587,112605,31525,83059,53229,53229,23742,114226,15807,96902,33565,117867,26521,117188
MEC_Girls,20581,20581,33073,33073,--,--,52992,52992,--,--,35069,47090,--,--,64563,117168,92442,112735
IT_Boys,2267,6261,3536,7104,7788,18222,3467,9419,18445,18445,3424,9763,6448,12770,12644,28165,21108,23998
IT_Girls,2377,7519,3185,7486,4869,22508,4912,9355,--,--,4742,14176,16908,24419,16166,26170,12237,35420
